AvgFitness=6.38031e-06 StdDev=4.49735e-07 GenBestFitness=8.68867e-06 GenLowestFitness=5.22431e-06 BestFitness=8.68867e-06
AvgFitness=6.40612e-06 StdDev=4.59109e-07 GenBestFitness=8.85328e-06 GenLowestFitness=5.21516e-06 BestFitness=8.85328e-06
AvgFitness=6.4221e-06 StdDev=4.63377e-07 GenBestFitness=9.24783e-06 GenLowestFitness=5.13021e-06 BestFitness=9.24783e-06
AvgFitness=6.45086e-06 StdDev=4.68839e-07 GenBestFitness=8.91044e-06 GenLowestFitness=5.24922e-06 BestFitness=9.24783e-06
AvgFitness=6.46093e-06 StdDev=4.6706e-07 GenBestFitness=9.46128e-06 GenLowestFitness=5.21982e-06 BestFitness=9.46128e-06
AvgFitness=6.47388e-06 StdDev=4.77566e-07 GenBestFitness=8.91044e-06 GenLowestFitness=5.20631e-06 BestFitness=9.46128e-06
AvgFitness=6.48815e-06 StdDev=4.77703e-07 GenBestFitness=8.91044e-06 GenLowestFitness=5.0919e-06 BestFitness=9.46128e-06
AvgFitness=6.50227e-06 StdDev=4.79049e-07 GenBestFitness=8.94015e-06 GenLowestFitness=5.25502e-06 BestFitness=9.46128e-06
AvgFitness=6.51852e-06 StdDev=4.88664e-07 GenBestFitness=8.91044e-06 GenLowestFitness=5.25502e-06 BestFitness=9.46128e-06
AvgFitness=6.52925e-06 StdDev=4.86512e-07 GenBestFitness=8.92655e-06 GenLowestFitness=5.15646e-06 BestFitness=9.46128e-06
AvgFitness=6.52822e-06 StdDev=4.83943e-07 GenBestFitness=8.92655e-06 GenLowestFitness=5.22565e-06 BestFitness=9.46128e-06
AvgFitness=6.5341e-06 StdDev=4.83905e-07 GenBestFitness=8.92655e-06 GenLowestFitness=5.25436e-06 BestFitness=9.46128e-06
AvgFitness=6.53663e-06 StdDev=4.82642e-07 GenBestFitness=8.79164e-06 GenLowestFitness=5.31015e-06 BestFitness=9.46128e-06
AvgFitness=6.54344e-06 StdDev=4.83876e-07 GenBestFitness=8.77971e-06 GenLowestFitness=5.19662e-06 BestFitness=9.46128e-06
AvgFitness=6.54585e-06 StdDev=4.81699e-07 GenBestFitness=9.27545e-06 GenLowestFitness=5.30243e-06 BestFitness=9.46128e-06
AvgFitness=6.55771e-06 StdDev=4.87893e-07 GenBestFitness=8.91918e-06 GenLowestFitness=5.17351e-06 BestFitness=9.46128e-06
AvgFitness=6.55403e-06 StdDev=4.87617e-07 GenBestFitness=8.98779e-06 GenLowestFitness=5.1985e-06 BestFitness=9.46128e-06
AvgFitness=6.5638e-06 StdDev=4.8233e-07 GenBestFitness=8.9355e-06 GenLowestFitness=5.1985e-06 BestFitness=9.46128e-06
AvgFitness=6.56138e-06 StdDev=4.91229e-07 GenBestFitness=8.9355e-06 GenLowestFitness=5.31015e-06 BestFitness=9.46128e-06
AvgFitness=6.57103e-06 StdDev=4.94163e-07 GenBestFitness=9.17113e-06 GenLowestFitness=5.30573e-06 BestFitness=9.46128e-06
AvgFitness=6.56471e-06 StdDev=4.98876e-07 GenBestFitness=9.13532e-06 GenLowestFitness=5.23832e-06 BestFitness=9.46128e-06
AvgFitness=6.56186e-06 StdDev=4.99405e-07 GenBestFitness=8.93628e-06 GenLowestFitness=5.23832e-06 BestFitness=9.46128e-06
AvgFitness=6.56464e-06 StdDev=4.995e-07 GenBestFitness=9.06277e-06 GenLowestFitness=5.15794e-06 BestFitness=9.46128e-06
AvgFitness=6.56562e-06 StdDev=4.99567e-07 GenBestFitness=8.72486e-06 GenLowestFitness=5.15794e-06 BestFitness=9.46128e-06
AvgFitness=6.56889e-06 StdDev=4.99408e-07 GenBestFitness=9.21418e-06 GenLowestFitness=5.18714e-06 BestFitness=9.46128e-06
