AvgFitness=6.26098e-06 StdDev=4.11721e-07 GenBestFitness=7.26922e-06 GenLowestFitness=5.51281e-06 BestFitness=7.26922e-06
AvgFitness=6.2813e-06 StdDev=3.82478e-07 GenBestFitness=7.39786e-06 GenLowestFitness=5.52107e-06 BestFitness=7.39786e-06
AvgFitness=6.25188e-06 StdDev=3.8536e-07 GenBestFitness=7.32803e-06 GenLowestFitness=5.65764e-06 BestFitness=7.39786e-06
AvgFitness=6.3954e-06 StdDev=4.23762e-07 GenBestFitness=7.66267e-06 GenLowestFitness=5.60073e-06 BestFitness=7.66267e-06
AvgFitness=6.40426e-06 StdDev=4.2024e-07 GenBestFitness=7.51357e-06 GenLowestFitness=5.65797e-06 BestFitness=7.66267e-06
AvgFitness=6.39449e-06 StdDev=4.39054e-07 GenBestFitness=7.55839e-06 GenLowestFitness=5.69489e-06 BestFitness=7.66267e-06
AvgFitness=6.38579e-06 StdDev=4.49604e-07 GenBestFitness=7.45117e-06 GenLowestFitness=5.57546e-06 BestFitness=7.66267e-06
AvgFitness=6.46265e-06 StdDev=4.40661e-07 GenBestFitness=7.80982e-06 GenLowestFitness=5.6935e-06 BestFitness=7.80982e-06
AvgFitness=6.43854e-06 StdDev=4.85686e-07 GenBestFitness=8.15113e-06 GenLowestFitness=5.5434e-06 BestFitness=8.15113e-06
AvgFitness=6.48598e-06 StdDev=4.82533e-07 GenBestFitness=7.75878e-06 GenLowestFitness=5.55933e-06 BestFitness=8.15113e-06
AvgFitness=6.43168e-06 StdDev=4.81448e-07 GenBestFitness=7.87474e-06 GenLowestFitness=5.62855e-06 BestFitness=8.15113e-06
AvgFitness=6.46175e-06 StdDev=4.98373e-07 GenBestFitness=7.66091e-06 GenLowestFitness=5.52437e-06 BestFitness=8.15113e-06
AvgFitness=6.47451e-06 StdDev=4.95042e-07 GenBestFitness=7.75956e-06 GenLowestFitness=5.556e-06 BestFitness=8.15113e-06
AvgFitness=6.49155e-06 StdDev=4.32963e-07 GenBestFitness=7.66247e-06 GenLowestFitness=5.59709e-06 BestFitness=8.15113e-06
AvgFitness=6.44041e-06 StdDev=4.33102e-07 GenBestFitness=7.3806e-06 GenLowestFitness=5.32684e-06 BestFitness=8.15113e-06
AvgFitness=6.41111e-06 StdDev=4.08005e-07 GenBestFitness=7.57062e-06 GenLowestFitness=5.33873e-06 BestFitness=8.15113e-06
AvgFitness=6.47303e-06 StdDev=4.3208e-07 GenBestFitness=7.7218e-06 GenLowestFitness=5.49448e-06 BestFitness=8.15113e-06
AvgFitness=6.46713e-06 StdDev=4.44799e-07 GenBestFitness=7.67559e-06 GenLowestFitness=5.49448e-06 BestFitness=8.15113e-06
AvgFitness=6.41504e-06 StdDev=4.29478e-07 GenBestFitness=7.89509e-06 GenLowestFitness=5.64955e-06 BestFitness=8.15113e-06
AvgFitness=6.44805e-06 StdDev=4.67104e-07 GenBestFitness=7.6305e-06 GenLowestFitness=5.44719e-06 BestFitness=8.15113e-06
AvgFitness=6.48504e-06 StdDev=4.33211e-07 GenBestFitness=7.52213e-06 GenLowestFitness=5.7192e-06 BestFitness=8.15113e-06
AvgFitness=6.47817e-06 StdDev=4.26216e-07 GenBestFitness=7.74597e-06 GenLowestFitness=5.64687e-06 BestFitness=8.15113e-06
AvgFitness=6.46933e-06 StdDev=4.40914e-07 GenBestFitness=7.80633e-06 GenLowestFitness=5.62735e-06 BestFitness=8.15113e-06
AvgFitness=6.53761e-06 StdDev=4.34513e-07 GenBestFitness=7.63155e-06 GenLowestFitness=5.57518e-06 BestFitness=8.15113e-06
AvgFitness=6.45224e-06 StdDev=4.61607e-07 GenBestFitness=7.77092e-06 GenLowestFitness=5.54924e-06 BestFitness=8.15113e-06
AvgFitness=6.56222e-06 StdDev=4.65219e-07 GenBestFitness=7.75348e-06 GenLowestFitness=5.79921e-06 BestFitness=8.15113e-06
AvgFitness=6.71241e-06 StdDev=4.87256e-07 GenBestFitness=8.67223e-06 GenLowestFitness=5.89206e-06 BestFitness=8.67223e-06
AvgFitness=6.63537e-06 StdDev=4.78429e-07 GenBestFitness=7.84336e-06 GenLowestFitness=5.76197e-06 BestFitness=8.67223e-06
AvgFitness=6.70351e-06 StdDev=5.15295e-07 GenBestFitness=8.15113e-06 GenLowestFitness=5.67565e-06 BestFitness=8.67223e-06
AvgFitness=6.67124e-06 StdDev=4.79137e-07 GenBestFitness=7.90459e-06 GenLowestFitness=5.66709e-06 BestFitness=8.67223e-06
AvgFitness=6.62842e-06 StdDev=5.33239e-07 GenBestFitness=7.90459e-06 GenLowestFitness=5.66675e-06 BestFitness=8.67223e-06
AvgFitness=6.5907e-06 StdDev=4.94436e-07 GenBestFitness=7.90459e-06 GenLowestFitness=5.61739e-06 BestFitness=8.67223e-06
AvgFitness=6.53574e-06 StdDev=4.79644e-07 GenBestFitness=7.90459e-06 GenLowestFitness=5.55765e-06 BestFitness=8.67223e-06
AvgFitness=6.52187e-06 StdDev=5.40958e-07 GenBestFitness=8.09721e-06 GenLowestFitness=5.4505e-06 BestFitness=8.67223e-06
